id,name,city,country,continent,region,lon,lat,rank
BCN,Barcelona–El Prat,Barcelona,Spain,Europe,Southern Europe,2.078333,41.296944,4
FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,Europe,Southern Europe,12.238889,41.800278,6
MAD,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Europe,Southern Europe,-3.566667,40.493611,6
ATH,Athens International,Athens,Greece,Europe,Southern Europe,23.944444,37.936389,11
CAI,Cairo International,Cairo,Egypt,Africa,Northern Africa,31.405556,30.121944,13
TLV,Ben Gurion,Tel Aviv,Israel,Asia,Western Asia,34.880556,32.007222,14
IST,Istanbul Airport,Istanbul,Turkey,Asia,Western Asia,28.751944,41.275278,15
LGW,Gatwick,London,United Kingdom,Europe,Northern Europe,-0.190278,51.148056,16
ORY,Paris Orly,Paris,France,Europe,Western Europe,2.379444,48.723333,18
BUD,Budapest Ferenc Liszt International,Budapest,Hungary,Europe,Central Europe,19.255556,47.436944,22
DEL,Indira Gandhi International,New Delhi,India,Asia,Southern Asia,77.103056,28.566389,22
TIA,Tirana International Airport Nënë Tereza,Tirana,Albania,Europe,Southern Europe,19.720833,41.415,23
LIS,Lisbon Portela,Lisbon,Portugal,Europe,Southern Europe,-9.134167,38.774167,24
CDG,Charles de Gaulle Airport,Paris,France,Europe,Western Europe,2.547778,49.009722,25
DUB,Dublin,Dublin,Ireland,Europe,Northern Europe,-6.27,53.421389,26
STN,London Stansted,London,United Kingdom,Europe,Northern Europe,0.235,51.885,27
CPH,Airport Copenhagen,Copenhagen,Denmark,Europe,Northern Europe,12.650278,55.620278,28
LHR,Heathrow,London,United Kingdom,Europe,Northern Europe,-0.461389,51.4775,28
MXP,Milan–Malpensa,Milan,Italy,Europe,Southern Europe,8.723056,45.63,29
PMI,Palma de Mallorca,"Palma, Majorca",Spain,Europe,Southern Europe,2.738889,39.551667,29
SAW,Sabiha Gökçen International,Istanbul,Turkey,Asia,Western Asia,29.309167,40.898611,30
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Europe,Western Europe,4.764167,52.308056,32
WAW,Warsaw Chopin,Warsaw,Poland,Europe,Central Europe,20.967222,52.165833,33
BER,Berlin Brandenburg,Berlin,Germany,Europe,Central Europe,13.503333,52.366667,33
JED,King Abdulaziz International,Jeddah,Saudi Arabia,Asia,Western Asia,39.156667,21.679444,34
OTP,Henri Coandă International,Bucharest,Romania,Europe,Eastern Europe,26.102222,44.572222,35
IBZ,Ibiza,Ibiza,Spain,Europe,Southern Europe,1.373056,38.872778,37
VIE,Vienna International Airport,Vienna,Austria,Europe,Central Europe,16.578056,48.110278,38
CMN,Mohammed V International,Casablanca,Morocco,Africa,Northern Africa,-7.59,33.3675,39
ARN,Stockholm Arlanda,Stockholm,Sweden,Europe,Northern Europe,17.918611,59.651944,40
BOM,Chhatrapati Shivaji International,Mumbai,India,Asia,Southern Asia,72.868056,19.088611,40
PRG,Václav Havel Airport Prague,Prague,Czechia,Europe,Central Europe,14.26,50.100833,41
AMM,Queen Alia International,Amman,Jordan,Asia,Western Asia,35.993333,31.7225,41
AGP,Málaga,Málaga,Spain,Europe,Southern Europe,-4.499167,36.675,47
LTN,Luton,London,United Kingdom,Europe,Northern Europe,-0.368333,51.874722,48
DXB,Dubai International,Dubai,United Arab Emirates,Asia,Western Asia,55.364444,25.252778,53
LOS,Murtala Muhammed International,Lagos,Nigeria,Africa,Western Africa,3.321111,6.5775,54
FRA,Frankfurt International Airport,Frankfurt,Germany,Europe,Central Europe,8.570556,50.033056,55
RUH,King Khalid International,Riyadh,Saudi Arabia,Asia,Western Asia,46.698889,24.957778,55
KRK,John Paul II International Airport Kraków–Balice,Kraków,Poland,Europe,Central Europe,19.784722,50.077778,57
NCE,Nice Côte d Azur International,Nice,France,Europe,Western Europe,7.215,43.665278,57
LHE,Allama Iqbal International,Lahore,Pakistan,Asia,Southern Asia,74.403611,31.521667,58
BEG,Belgrade Nikola Tesla,Belgrade,Serbia,Europe,Southern Europe,20.309167,44.818333,59
BVA,Beauvais–Tillé,Paris,France,Europe,Western Europe,2.112778,49.454444,59
MAN,Manchester,Manchester,United Kingdom,Europe,Northern Europe,-2.275,53.353611,60
RAK,Marrakesh Menara,Marrakesh,Morocco,Africa,Northern Africa,-8.036389,31.606944,61
MLA,Malta International,Malta,Malta,Europe,Southern Europe,14.4775,35.8575,63
NAP,Naples International,Naples,Italy,Europe,Southern Europe,14.290833,40.884444,64
NBO,Jomo Kenyatta International,Nairobi,Kenya,Africa,Eastern Africa,36.927778,-1.319167,65
BEY,Beirut–Rafic Hariri International,Beirut,Lebanon,Asia,Western Asia,35.488333,33.820833,66
KWI,Kuwait International,Kuwait City,Kuwait,Asia,Western Asia,47.968889,29.226667,67
HEL,Helsinki,Helsinki,Finland,Europe,Northern Europe,24.963333,60.317222,69
RMO,Chișinău International,Chișinău,Moldova,Europe,Eastern Europe,28.9349,46.9352,70
ISB,Islamabad International Airport,Islamabad,Pakistan,Asia,Southern Asia,72.826754,33.55126,71
TBS,Tbilisi International,Tbilisi,Georgia,Asia,Western Asia,44.954722,41.669167,72
TAS,Tashkent International,Tashkent,Uzbekistan,Asia,Central Asia,69.281111,41.257778,73
VCE,Venice Marco Polo,Venice,Italy,Europe,Southern Europe,12.351944,45.505278,74
KHI,Jinnah International,Karachi,Pakistan,Asia,Southern Asia,67.160833,24.906667,75
BGY,Milan Bergamo International Airport,Milan,Italy,Europe,Southern Europe,9.700278,45.668889,76
VLC,Valencia,Valencia,Spain,Europe,Southern Europe,-0.481667,39.489444,76
OPO,Porto,Porto,Portugal,Europe,Southern Europe,-8.678056,41.235556,77
